Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
Chaand Kaa Tukdaa,1994.0,155.0,Action,4.0,603.0,Saawan Kumar Tak,Sridevi,Salman Khan,Anupam Kher,5.543406229290921,5.0249999999999995,5.922222222222222,5.294117647058823,5.445454545454545
Chaani,1977.0,136.0,Drama,7.7,26.0,Shantaram Rajaram Vankudre,Ranjana,Siddharth,Yashwant Dutt,6.271282051282052,6.617647058823529,7.7,6.550000000000001,7.7
Chaar Din Ki Chandni,2012.0,131.0,Comedy,4.1,393.0,Samir Karnik,Tusshar Kapoor,Kulraj Randhawa,Anupam Kher,5.838155136268345,5.033333333333333,4.2785714285714285,4.1,5.445454545454545
Chaar Maharathi,1985.0,137.0,Action,4.5,8.0,S. Waris Ali,Tina Ambani,Master Bunty,Mithun Chakraborty,5.543406229290921,4.5,4.75,4.5,5.826923076923077
Chaar Sahibzaade 2,2016.0,134.0,Animation,8.6,656.0,Harry Baweja,Harman Baweja,Pawan Kalra,Om Puri,6.0736842105263165,5.325,4.959999999999999,8.6,6.096
Chaarfutiya Chhokare,2014.0,119.0,Drama,5.9,38.0,Manish Harishankar,Soha Ali Khan,Zakir Hussain,Seema Biswas,6.271282051282052,4.65,5.85,5.6,6.233333333333333
Chacha Bhatija,1977.0,161.0,Action,5.8,213.0,Manmohan Desai,Dharmendra,Hema Malini,Randhir Kapoor,5.543406229290921,6.4411764705882355,5.924691358024691,6.2318181818181815,5.279999999999999
Chachi 420,1997.0,155.0,Comedy,7.4,12575.0,Kamal Haasan,Kamal Haasan,Amrish Puri,Om Puri,5.838155136268345,7.325,6.71,6.366666666666667,6.096
Chai Coffee,2019.0,49.0,Drama,7.9,11.0,Ayush Upadhyay,Ayush Upadhyay,Mansi Singh,Megha Jha,6.271282051282052,7.9,7.9,7.9,7.9
Chai Pani Etc,2004.0,92.0,Comedy,4.7,24.0,Manu Rewal,Konkona Sen Sharma,Zafar Karachiwala,Gaurav Kapoor,5.838155136268345,4.7,6.385714285714286,5.4,4.7
Chain Kulii Ki Main Kulii,2007.0,118.0,Comedy,5.6,1214.0,Karanjeet Saluja,Zain Khan,Rahul Bose,Kapil Dev,5.838155136268345,5.699999999999999,5.6,5.975,5.6
Chak De,2007.0,153.0,Drama,8.2,75790.0,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,6.271282051282052,7.833333333333333,6.651428571428572,6.6499999999999995,8.2
Chakkar Pe Chakkar,1977.0,138.0,Action,5.6,27.0,Ashok Roy,Shashi Kapoor,Rekha,Pran,5.543406229290921,5.86,6.313513513513513,5.821276595744681,6.39811320754717
Chakra,1981.0,140.0,Action,6.8,141.0,Rabindra Dharmaraj,Savita Bajaj,Arun Bakshi,Suresh Bhagwat,5.543406229290921,6.8,7.0,5.016666666666667,6.8
Chakradhaar,2012.0,120.0,Action,4.2,28.0,Dharam Prakash,Shakur Sir,Abishek Anand,Zakir Hussain,5.543406229290921,4.2,4.2,4.2,5.083333333333333
Chakravyuh,2012.0,152.0,Action,6.8,3089.0,Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,5.543406229290921,6.661538461538461,5.3999999999999995,6.375,5.954545454545454
Chakravyuha,1978.0,130.0,Action,6.4,40.0,Basu Chatterjee,Rajesh Khanna,Neetu Singh,Vinod Mehra,5.543406229290921,6.7318181818181815,6.6,5.986666666666666,6.033333333333333
Chal Bhaag,2014.0,111.0,Comedy,3.8,101.0,Prakash Saini,Deepak Dobriyal,Taran Bajaj,Keeya Khanna,5.838155136268345,3.8,5.64,3.8,3.8
Chal Chala Chal,2009.0,138.0,Action,4.6,292.0,Rajeev Kumar,Asrani,Asif Basra,Kaluram Dhobale,5.543406229290921,5.0200000000000005,5.076190476190476,4.966666666666666,4.6
